Order_Hour,Day_of_Week,Is_Weekend,Is_Festival,Weather,Pickup_Zone,Dropoff_Zone,Vehicle_Type,Rider_Experience_Years,Rider_Rating,Restaurant_Rating,Cuisine_Type,Order_Items,Restaurant_Load,Preparation_Time_Min,Road_Distance_km,Delivery_Distance_Category,Traffic_Level,Number_of_Signals,Average_Speed_kmph,Delivery_Priority,Time_taken_min
7,Tuesday,0,0,Cloudy,Suburban,CBD,Scooter,2.7,3.7,5.0,Biryani,1,Medium,32,30.31,Long,Low,4,33.9,Normal,88
11,Monday,0,0,Rain,CBD,Residential,Bike,3.9,3.9,3.7,North Indian,1,Low,23,18.25,Long,Moderate,17,29.3,Normal,68
21,Monday,0,0,Clear,Residential,Suburban,Bike,3.7,3.8,4.3,North Indian,3,High,31,10.58,Long,Low,10,43.6,Priority,49
23,Saturday,1,0,Rain,Residential,Commercial,Bike,9.4,4.5,3.4,Biryani,1,Low,25,32.69,Long,Moderate,6,30.9,Normal,96
19,Sunday,1,0,Clear,Residential,Industrial,Bicycle,5.5,4.0,4.3,Bakery,1,Medium,9,38.12,Long,Moderate,10,13.8,Normal,176
21,Saturday,1,0,Fog,Residential,CBD,Bike,9.4,4.3,4.5,South Indian,1,High,21,25.66,Long,Moderate,10,33.2,Normal,73
19,Tuesday,0,0,Clear,CBD,Residential,Bike,7.9,4.3,4.2,Biryani,5,Low,37,19.25,Long,Moderate,16,37.2,VIP,69
18,Sunday,1,0,Storm,CBD,Residential,Bike,2.3,4.0,4.2,North Indian,4,Medium,35,47.35,Long,Severe,16,14.0,Normal,180
18,Thursday,0,0,Rain,Commercial,Industrial,Bike,2.1,3.9,4.5,Cafe,4,High,20,7.66,Long,Moderate,12,28.8,Normal,41
9,Friday,0,0,Storm,Suburban,Residential,Bike,3.1,3.9,4.3,Biryani,1,Low,27,34.16,Long,Moderate,2,24.1,Normal,116
21,Friday,0,0,Clear,Residential,CBD,Bicycle,1.7,3.4,3.8,Bakery,3,Low,8,21.63,Long,Low,9,16.3,Normal,95
11,Monday,0,1,Clear,Residential,Commercial,Scooter,3.1,3.8,3.3,South Indian,4,Low,26,20.1,Long,Low,10,35.1,Normal,70
20,Saturday,1,0,Rain,CBD,Residential,Bike,5.6,4.2,4.3,Chinese,1,High,27,18.06,Long,Severe,16,17.5,Normal,96
18,Friday,0,1,Clear,Industrial,Residential,Bike,4.4,3.9,3.8,Burger,3,Medium,15,12.79,Long,Moderate,7,36.0,Normal,46
6,Tuesday,0,0,Cloudy,Industrial,Residential,Scooter,4.3,3.8,3.9,Burger,5,High,21,18.08,Long,Low,4,34.4,Normal,51
19,Thursday,0,0,Fog,CBD,Residential,Bike,2.0,3.6,4.2,Chinese,6,Low,27,33.52,Long,Moderate,16,30.9,Normal,100
17,Tuesday,0,0,Clear,Residential,Residential,Bike,4.9,4.0,4.8,South Indian,2,Medium,22,37.85,Long,Low,8,44.1,Normal,78
14,Thursday,0,0,Clear,Suburban,Residential,Bike,13.0,5.0,4.2,Pizza,5,Medium,27,15.74,Long,Low,2,47.5,Normal,51
19,Wednesday,0,0,Cloudy,CBD,Commercial,Bike,3.2,3.6,4.1,Biryani,2,High,38,29.94,Long,Moderate,17,34.5,VIP,96
15,Monday,0,0,Clear,Residential,Suburban,Bicycle,6.3,3.9,4.7,North Indian,1,High,30,27.3,Long,Low,7,17.0,Normal,127
21,Friday,0,0,Clear,Commercial,Industrial,Bike,2.6,4.1,4.1,Burger,3,Medium,14,5.11,Medium,Low,11,43.1,Normal,27
15,Friday,0,0,Cloudy,CBD,Residential,Electric Scooter,3.0,3.8,4.5,Biryani,2,High,37,37.34,Long,Low,17,30.0,Priority,117
12,Monday,0,0,Clear,Commercial,Industrial,Electric Scooter,9.1,4.1,3.9,Biryani,7,High,45,42.64,Long,Low,11,32.7,Normal,127
2,Saturday,1,0,Storm,Residential,Commercial,Bike,5.5,3.8,4.4,South Indian,5,High,29,14.08,Long,Moderate,7,24.7,Normal,68
14,Saturday,1,0,Cloudy,CBD,CBD,Bike,5.1,4.0,4.4,Pizza,3,Low,23,30.23,Long,Moderate,17,35.1,Normal,78
18,Friday,0,0,Storm,Industrial,Residential,Bike,3.4,4.0,4.6,Burger,2,Low,10,23.61,Long,Moderate,4,24.2,Normal,76
14,Tuesday,0,0,Clear,Residential,Suburban,Electric Scooter,7.2,4.4,4.0,South Indian,6,Medium,27,26.5,Long,Low,8,32.2,Normal,87
21,Saturday,1,0,Cloudy,Commercial,Suburban,Scooter,12.0,4.7,3.8,Pizza,1,High,29,56.15,Long,Moderate,10,30.3,Normal,144
18,Friday,0,0,Clear,Residential,Commercial,Scooter,4.6,3.8,4.3,Biryani,4,Low,32,16.97,Long,Low,7,35.6,Normal,68
8,Friday,0,0,Clear,Industrial,Commercial,Bike,5.5,4.3,4.3,Burger,3,Low,13,31.11,Long,Low,8,44.3,Normal,61
9,Monday,0,0,Clear,Suburban,Industrial,Bike,4.3,3.9,4.0,Burger,1,High,18,18.0,Long,Low,2,43.8,Normal,46
11,Tuesday,0,0,Storm,Industrial,Residential,Bike,1.1,3.5,4.3,Desserts,5,High,21,29.93,Long,Low,7,28.9,Priority,95
12,Monday,0,0,Clear,CBD,Suburban,Scooter,3.5,3.9,4.3,Biryani,4,Low,34,27.04,Long,Low,18,35.2,Priority,86
12,Friday,0,0,Rain,CBD,CBD,Bike,7.9,4.1,3.6,Biryani,2,Medium,39,27.76,Long,Moderate,14,30.5,Normal,100
11,Sunday,1,0,Cloudy,Suburban,Commercial,Scooter,6.7,4.3,4.3,Chinese,5,Low,25,12.12,Long,Low,6,35.2,Normal,47
15,Friday,0,0,Rain,CBD,Industrial,Bike,14.6,4.9,4.2,North Indian,2,High,31,8.6,Long,Moderate,15,32.4,Normal,59
12,Saturday,1,0,Rain,CBD,CBD,Electric Scooter,2.6,3.6,4.7,North Indian,3,Low,28,43.02,Long,High,17,16.4,Priority,180
22,Tuesday,0,0,Cloudy,Commercial,Suburban,Bike,13.0,5.0,3.8,Bakery,1,Medium,6,19.85,Long,Low,11,46.0,Normal,38
13,Sunday,1,0,Rain,Residential,Suburban,Bicycle,9.2,4.4,4.3,North Indian,1,High,31,28.82,Long,Moderate,9,11.7,Priority,180
8,Sunday,1,0,Clear,CBD,Suburban,Bike,2.1,3.8,4.5,Biryani,1,Low,25,10.39,Long,High,16,27.9,Normal,53
18,Saturday,1,0,Clear,Residential,Residential,Scooter,2.6,4.0,4.3,South Indian,4,Low,22,31.63,Long,Moderate,7,28.6,Normal,94
16,Wednesday,0,0,Cloudy,Suburban,Industrial,Electric Scooter,2.4,3.7,4.8,Biryani,1,High,35,30.29,Long,Low,3,29.8,Normal,97
1,Tuesday,0,0,Cloudy,Industrial,Industrial,Scooter,1.4,3.8,4.4,Burger,2,Low,12,48.6,Long,Low,4,33.4,Normal,98
15,Friday,0,0,Cloudy,Suburban,CBD,Bicycle,3.6,3.9,4.2,Cafe,2,Medium,8,24.67,Long,Low,2,16.1,Normal,104
14,Wednesday,0,0,Clear,Residential,Commercial,Scooter,1.1,3.7,4.6,North Indian,2,Low,26,31.33,Long,Low,9,34.4,Normal,88
12,Thursday,0,0,Clear,Residential,Commercial,Bike,4.2,4.0,4.7,Cafe,2,Low,7,11.24,Long,Low,8,43.8,Normal,25
21,Monday,0,0,Clear,Residential,Residential,Bike,3.1,3.9,3.8,Bakery,1,Low,5,23.02,Long,Low,10,43.3,Priority,44
22,Friday,0,0,Cloudy,Commercial,Residential,Bike,3.3,3.9,3.8,Biryani,5,Low,40,15.16,Long,Low,11,42.1,Priority,66
12,Friday,0,0,Clear,Residential,Industrial,Scooter,9.3,4.2,4.6,Chinese,2,Low,19,47.42,Long,Low,6,37.2,Normal,99
17,Thursday,0,0,Clear,Suburban,CBD,Bike,6.7,4.2,3.6,South Indian,1,High,22,12.86,Long,Low,6,44.8,Normal,43
12,Friday,0,0,Rain,CBD,Residential,Bike,4.0,3.9,4.3,Desserts,5,Low,13,45.55,Long,Moderate,15,29.4,Normal,115
13,Monday,0,0,Clear,CBD,Residential,Bike,9.1,4.4,4.3,Biryani,2,Low,27,20.26,Long,Low,14,45.8,Priority,58
21,Wednesday,0,0,Cloudy,Residential,Industrial,Bicycle,2.4,4.0,4.2,Desserts,2,Low,7,10.98,Long,Low,6,15.9,Normal,53
12,Wednesday,0,0,Clear,Residential,Suburban,Bike,0.6,3.5,4.5,Chinese,4,Medium,27,16.61,Long,Low,10,42.3,Normal,54
18,Thursday,0,0,Cloudy,CBD,Commercial,Bicycle,3.8,4.1,4.1,Cafe,1,High,12,18.22,Long,Moderate,17,13.2,Normal,99
7,Thursday,0,0,Cloudy,Commercial,Industrial,Bike,1.1,3.8,4.4,North Indian,6,Medium,39,11.54,Long,Low,10,41.2,VIP,57
8,Wednesday,0,0,Clear,CBD,Commercial,Bike,2.2,3.6,4.1,North Indian,1,High,35,15.04,Long,Moderate,15,35.2,Normal,67
19,Sunday,1,0,Fog,Commercial,Commercial,Bike,5.0,4.0,4.2,Burger,1,Low,13,39.67,Long,Moderate,14,31.8,Normal,96
16,Tuesday,0,0,Rain,Residential,Commercial,Bike,1.1,3.7,4.8,South Indian,2,Medium,22,17.34,Long,Low,10,34.8,Normal,59
11,Saturday,1,0,Cloudy,Industrial,Suburban,Bicycle,3.8,3.7,3.5,Pizza,4,High,29,48.23,Long,Low,7,16.1,Priority,180
13,Monday,0,0,Fog,CBD,Suburban,Bike,4.2,4.1,4.1,North Indian,1,High,29,7.76,Long,Low,18,38.5,VIP,47
18,Thursday,0,1,Rain,Commercial,Residential,Bike,6.9,4.1,3.8,Cafe,4,Medium,21,43.43,Long,High,11,23.9,Normal,141
19,Wednesday,0,0,Rain,Commercial,Suburban,Scooter,1.4,3.5,4.8,Chinese,7,Medium,31,19.41,Long,Moderate,14,23.2,Priority,94
19,Monday,0,0,Rain,Commercial,CBD,Scooter,4.9,4.2,4.4,South Indian,1,Low,16,8.05,Long,Moderate,14,24.0,Normal,46
13,Tuesday,0,0,Clear,Commercial,Industrial,Scooter,2.9,3.9,4.8,Chinese,1,High,22,26.04,Long,Low,13,35.0,Normal,72
18,Monday,0,0,Clear,CBD,Suburban,Bike,2.3,4.0,4.4,Pizza,3,Low,27,41.59,Long,Moderate,16,35.2,Normal,108
4,Wednesday,0,0,Rain,Commercial,Residential,Bike,4.5,4.1,4.4,Pizza,1,High,25,22.44,Long,Low,14,36.0,Normal,71
13,Tuesday,0,0,Clear,CBD,CBD,Bike,4.3,4.0,4.1,North Indian,4,Medium,33,28.92,Long,Low,14,43.8,Normal,75
18,Friday,0,0,Rain,CBD,Residential,Bike,1.6,3.8,4.4,Pizza,1,Low,19,26.95,Long,High,14,22.7,Normal,103
14,Saturday,1,0,Fog,Commercial,Suburban,Scooter,7.0,4.2,4.1,Desserts,1,Medium,11,49.15,Long,Low,12,32.0,Normal,107
18,Saturday,1,0,Clear,Industrial,Commercial,Bike,8.2,4.3,3.8,South Indian,1,Medium,19,28.14,Long,Moderate,5,37.3,Normal,64
19,Monday,0,0,Clear,Residential,Industrial,Scooter,2.9,3.7,4.7,Cafe,3,Low,14,23.21,Long,Low,6,35.0,Normal,58
19,Friday,0,0,Clear,Industrial,CBD,Bike,1.7,3.9,4.1,South Indian,6,Low,27,11.64,Long,Low,6,42.7,Normal,43
13,Thursday,0,0,Storm,Suburban,CBD,Scooter,3.5,3.8,3.6,North Indian,5,Low,29,39.16,Long,Low,2,23.9,Priority,134
6,Sunday,1,0,Clear,Industrial,Residential,Bike,1.2,3.6,3.5,Desserts,1,Low,9,25.97,Long,Low,6,42.5,Priority,45
16,Wednesday,0,0,Storm,CBD,Suburban,Electric Scooter,1.9,3.6,4.1,North Indian,5,Medium,36,12.67,Long,Moderate,15,17.0,Normal,96
23,Saturday,1,0,Fog,Residential,Residential,Bike,4.1,3.5,4.5,South Indian,4,Medium,26,9.26,Long,Low,8,38.5,Priority,45
22,Wednesday,0,0,Clear,Industrial,Residential,Bicycle,3.1,3.9,3.7,North Indian,5,High,36,35.72,Long,Low,8,16.5,Normal,171
18,Sunday,1,0,Clear,Industrial,Commercial,Electric Scooter,1.1,4.0,4.6,Burger,1,Low,12,11.81,Long,Moderate,7,24.9,Normal,46
6,Tuesday,0,0,Clear,Residential,Residential,Bicycle,2.1,3.5,4.1,Biryani,3,Low,33,7.38,Long,Low,6,16.3,Normal,61
21,Saturday,1,0,Cloudy,Suburban,Industrial,Bike,5.1,3.8,4.8,Biryani,3,High,37,26.72,Long,Moderate,5,35.1,Normal,85
18,Sunday,1,0,Clear,Suburban,Commercial,Bike,4.0,3.9,4.2,Pizza,1,Medium,24,24.65,Long,Moderate,4,35.8,Normal,65
13,Sunday,1,0,Clear,Suburban,Industrial,Bike,3.4,4.0,4.5,Chinese,4,Medium,31,16.6,Long,Low,4,43.4,Normal,57
19,Monday,0,0,Cloudy,CBD,Commercial,Scooter,0.6,3.6,4.3,Biryani,2,Low,27,24.51,Long,Moderate,14,27.2,Normal,87
0,Monday,0,0,Clear,Commercial,Residential,Bicycle,2.9,3.9,3.6,Burger,1,Medium,12,0.99,Short,Low,13,16.5,Normal,20
12,Wednesday,0,0,Fog,Suburban,CBD,Electric Scooter,5.1,4.3,5.0,Biryani,2,Medium,31,33.44,Long,Low,6,27.7,Normal,104
8,Saturday,1,0,Clear,CBD,Commercial,Bike,4.1,3.8,4.1,Cafe,1,High,12,8.7,Long,High,15,28.4,Normal,38
19,Saturday,1,0,Clear,Residential,Commercial,Electric Scooter,2.2,3.7,3.5,Chinese,1,Medium,21,17.41,Long,Moderate,9,25.1,VIP,66
17,Monday,0,0,Rain,CBD,Suburban,Electric Scooter,10.9,4.5,4.2,North Indian,1,High,33,16.21,Long,Moderate,16,22.4,Normal,83
18,Thursday,0,0,Rain,Commercial,Residential,Bike,14.6,4.9,4.2,Burger,4,Low,17,20.58,Long,Moderate,11,32.4,Priority,60
14,Sunday,1,0,Rain,Suburban,Industrial,Bike,3.3,3.9,5.0,Biryani,1,Medium,31,46.31,Long,Moderate,5,29.2,Normal,132
7,Monday,0,0,Clear,Residential,Industrial,Electric Scooter,6.1,4.1,3.7,Bakery,1,High,14,26.07,Long,Low,6,31.8,Priority,62
7,Thursday,0,0,Clear,Commercial,Commercial,Scooter,3.9,4.0,3.9,Chinese,5,Medium,30,17.34,Long,Low,11,35.3,Normal,66
12,Tuesday,0,0,Clear,Industrial,Residential,Scooter,4.6,3.8,3.9,Burger,4,High,24,19.11,Long,Low,4,35.6,Priority,55
15,Saturday,1,0,Cloudy,Suburban,Industrial,Bike,3.3,3.9,3.6,South Indian,2,High,24,26.87,Long,Low,4,42.1,Normal,63
7,Monday,0,0,Clear,Industrial,CBD,Bicycle,1.3,3.7,4.5,North Indian,1,Low,24,5.19,Medium,Low,4,16.2,Normal,45
0,Tuesday,0,0,Clear,Suburban,Commercial,Scooter,4.6,3.8,3.8,Burger,1,High,14,45.02,Long,Low,3,35.6,Priority,89
13,Monday,0,0,Clear,CBD,Suburban,Bike,4.8,3.9,4.3,Biryani,1,Medium,34,27.84,Long,Low,16,44.0,Priority,82
13,Friday,0,0,Clear,CBD,Commercial,Scooter,2.3,3.7,4.1,Pizza,2,High,24,21.77,Long,Low,17,34.8,Normal,68
19,Tuesday,0,0,Cloudy,Residential,Suburban,Bike,2.2,3.8,4.4,North Indian,2,Medium,31,24.56,Long,Low,7,41.6,Priority,66
5,Monday,0,0,Cloudy,CBD,Suburban,Bike,9.0,4.0,3.8,South Indian,2,Medium,19,67.62,Long,Low,15,44.4,Normal,114
13,Thursday,0,0,Rain,CBD,Residential,Bike,4.9,4.0,4.1,South Indian,3,Low,22,34.94,Long,Moderate,16,29.6,Priority,97
17,Sunday,1,0,Clear,Commercial,CBD,Bike,4.3,3.7,4.3,Biryani,1,Medium,32,11.98,Long,Low,11,43.8,Normal,49
21,Saturday,1,0,Clear,Industrial,Industrial,Bike,4.3,3.7,4.4,Burger,1,Low,9,26.32,Long,Moderate,5,35.9,Normal,59
7,Friday,0,0,Cloudy,Suburban,Commercial,Bicycle,1.5,3.9,3.8,Bakery,1,Medium,9,27.44,Long,Low,6,15.8,Priority,114
22,Sunday,1,0,Clear,Commercial,Residential,Bike,0.4,3.6,4.0,Pizza,6,Low,34,40.83,Long,Low,14,42.2,Normal,96
12,Sunday,1,0,Cloudy,CBD,Suburban,Bike,5.9,4.1,3.8,North Indian,1,Medium,27,48.62,Long,Moderate,14,35.4,Normal,115
6,Tuesday,0,0,Clear,Industrial,Suburban,Scooter,5.7,3.9,4.3,Biryani,3,Low,34,44.45,Long,Low,8,35.9,Priority,113
18,Monday,0,0,Cloudy,Residential,Commercial,Bike,6.6,4.3,3.8,Cafe,3,High,17,32.13,Long,Low,9,43.4,VIP,65
11,Wednesday,0,0,Clear,Suburban,CBD,Bike,4.3,3.9,4.2,North Indian,1,Low,23,31.55,Long,Low,6,43.8,Normal,67
19,Thursday,0,0,Clear,CBD,CBD,Scooter,2.8,3.7,4.5,Chinese,1,High,23,20.2,Long,Moderate,18,28.7,Normal,71
18,Thursday,0,0,Clear,CBD,CBD,Bike,0.9,3.7,3.6,Burger,1,High,18,8.74,Long,Moderate,14,34.7,Normal,39
20,Tuesday,0,0,Rain,Suburban,Suburban,Bike,5.4,4.2,4.3,South Indian,4,Low,25,20.64,Long,Moderate,5,29.8,Normal,73
14,Thursday,0,0,Rain,Industrial,Residential,Bike,5.6,4.2,4.5,Pizza,5,High,30,30.89,Long,Low,6,36.4,Normal,85
15,Friday,0,0,Clear,Commercial,Industrial,Scooter,7.4,4.1,3.4,Desserts,1,Low,6,22.0,Long,Low,12,36.5,Normal,51
8,Friday,0,0,Clear,Residential,Commercial,Bike,8.9,4.1,4.3,South Indian,1,Low,13,41.13,Long,Low,9,45.7,Normal,73
19,Saturday,1,1,Cloudy,CBD,Residential,Bike,7.4,4.1,4.0,Biryani,2,High,33,22.86,Long,Severe,16,21.0,Normal,106
18,Thursday,0,0,Clear,CBD,Industrial,Electric Scooter,12.6,4.5,4.3,Chinese,2,Low,22,44.52,Long,Moderate,17,27.7,Normal,120
19,Thursday,0,0,Cloudy,Commercial,Residential,Bike,9.3,4.5,4.1,Cafe,4,High,23,12.83,Long,Low,10,44.5,Normal,39
12,Monday,0,0,Rain,Suburban,CBD,Bike,5.5,4.0,4.0,North Indian,2,Medium,28,7.75,Long,Low,3,36.3,Normal,40
7,Saturday,1,0,Clear,Residential,Commercial,Bike,2.3,3.9,4.2,Pizza,4,Low,25,24.09,Long,Low,7,43.0,Normal,59
13,Tuesday,0,0,Rain,CBD,CBD,Bike,4.0,4.1,4.2,North Indian,1,High,27,21.66,Long,Moderate,14,29.4,Normal,76
4,Thursday,0,0,Clear,Residential,Suburban,Scooter,5.4,4.0,4.8,Biryani,3,Low,33,32.18,Long,Low,9,35.8,Priority,86
16,Tuesday,0,0,Rain,Industrial,Residential,Electric Scooter,2.6,3.8,4.4,North Indian,1,Medium,26,12.95,Long,Low,6,25.2,Normal,64
19,Saturday,1,0,Clear,Residential,CBD,Electric Scooter,3.3,3.7,4.7,North Indian,1,Low,23,7.63,Long,Moderate,8,25.4,Normal,50
20,Tuesday,0,0,Cloudy,Residential,Residential,Bike,2.4,3.3,3.8,North Indian,7,Medium,38,5.88,Medium,Low,7,41.7,Normal,51
18,Monday,0,0,Clear,Industrial,Residential,Bike,7.9,4.1,4.3,South Indian,5,Low,25,30.27,Long,Low,4,45.3,VIP,64
3,Friday,0,0,Storm,Commercial,Industrial,Scooter,7.8,4.6,4.4,Pizza,1,High,27,36.61,Long,Low,13,24.9,Priority,119
8,Monday,0,0,Clear,Suburban,CBD,Bicycle,0.9,4.0,4.2,Cafe,1,Medium,10,8.98,Long,Low,2,16.1,Normal,43
14,Thursday,0,0,Rain,CBD,Suburban,Scooter,2.0,3.8,4.3,Biryani,2,Medium,32,20.46,Long,Moderate,17,23.3,VIP,93
20,Thursday,0,0,Clear,Suburban,Residential,Bike,3.3,3.9,4.1,Chinese,1,Low,18,14.12,Long,Low,4,43.4,Normal,38
18,Tuesday,0,0,Cloudy,Commercial,Residential,Bike,7.3,4.1,3.9,Biryani,2,High,36,27.59,Long,Low,13,43.7,Normal,84
16,Saturday,1,0,Rain,Suburban,Suburban,Electric Scooter,11.6,4.5,4.2,Burger,3,High,16,18.1,Long,Moderate,6,22.5,Normal,70
20,Thursday,0,0,Clear,Commercial,CBD,Bike,2.2,3.8,3.8,Cafe,2,High,15,24.48,Long,Low,10,42.9,Normal,48
19,Friday,0,0,Clear,Residential,Residential,Bike,3.8,3.9,4.4,Pizza,2,High,23,29.66,Long,Low,7,43.6,Priority,66
8,Monday,0,0,Rain,Industrial,Residential,Scooter,8.9,4.5,4.3,Biryani,6,Low,39,42.9,Long,Moderate,4,24.9,Normal,150
